Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9128630705394191,0.9230353280461427,0.9126652379319256,0.9093935446519033,0.9078586878154289,0.9086082669700417,4.149377593360995,4.564315352697095,95.0,0.0,146.0,95.0,0.0,146.0
Cefuroxime_AB,0.8933333333333333,0.9456998683633173,0.9327052671719306,0.912405303030303,0.7866388767003072,0.8274980833120368,0.8888888888888888,9.777777777777779,53.0,0.0,172.0,53.0,0.0,172.0
Cefepime_AB,0.6556016597510373,0.5811827956989247,0.5228896499031077,0.49234954097245837,0.4861751152073733,0.47245298942426883,24.896265560165975,9.54356846473029,31.0,0.0,210.0,31.0,0.0,210.0
Gentamicin_AB,0.88,0.9234138099684319,0.9125332303441869,0.8807707747892413,0.8795518207282913,0.8798076923076923,7.000000000000001,5.0,153.0,0.0,147.0,153.0,0.0,147.0
Piperacillin-tazobactam_AB,0.7842323651452282,0.8428270042194093,0.8140776582978964,0.7552083333333333,0.7584388185654009,0.7567546583850933,11.20331950207469,10.37344398340249,79.0,0.0,162.0,79.0,0.0,162.0
Aztreonam_AB,0.8546255506607929,0.904298245614035,0.888552846008624,0.8614766081871346,0.803640350877193,0.8229622101954482,3.0837004405286343,11.45374449339207,75.0,0.0,152.0,75.0,0.0,152.0
Ceftazidime_AB,0.8643410852713178,0.9092598967297763,0.8836369622053691,0.8641098484848485,0.8176592082616179,0.8348664118647477,3.488372093023256,10.077519379844961,83.0,0.0,175.0,83.0,0.0,175.0
Ciprofloxacin_AB,0.7666666666666667,0.7016049382716049,0.6115759906891195,0.5861038029179623,0.6777777777777778,0.5928970223325062,19.0,4.333333333333334,30.0,0.0,270.0,30.0,0.0,270.0
Imipenem_AB,0.29493087557603687,0.5863066538090647,0.5819986571717772,0.5909090909090909,0.5819672131147541,0.2946912242686891,70.50691244239631,0.0,34.0,0.0,183.0,34.0,0.0,183.0
Trimethoprim-sulfamethoxazole_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.7329842931937173,0.6108156028368794,0.5142501915378683,0.515633646928611,0.700354609929078,0.4583819849874896,26.17801047120419,0.5235602094240838,3.0,0.0,188.0,3.0,0.0,188.0
Levofloxacin_AB,0.6538461538461539,0.7381399228443333,0.7088038487852681,0.690961262553802,0.708163903659681,0.6517857142857143,30.288461538461537,4.326923076923077,69.0,0.0,139.0,69.0,0.0,139.0
Amikacin_AB,0.75,0.844298704013378,0.8128053224235325,0.7909090909090909,0.6045150501672241,0.6018474279343845,23.666666666666668,1.3333333333333335,208.0,0.0,92.0,208.0,0.0,92.0
Ampicillin-sulbactam_AB,0.8478260869565217,0.926530612244898,0.9076923755753818,0.844191440016867,0.7467876039304611,0.7763888888888889,2.717391304347826,12.5,49.0,0.0,135.0,49.0,0.0,135.0
Cefazolin_AB,0.8792270531400966,0.9528921023359289,0.9365045014294477,0.906332647663826,0.8076195773081201,0.8384478506540131,0.966183574879227,11.11111111111111,62.0,0.0,145.0,62.0,0.0,145.0
Median,0.7842323651452282,0.8742984748137066,0.8836369622053691,0.7909090909090909,0.7467876039304611,0.7567546583850933,7.000000000000001,5.0,,,,,,
