,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,219.0,0,81.0,0.0,219.0,0,81.0
1,EKP,Ampicillin-sulbactam_AB,113.0,52.0,0,135.0,113.0,52.0,0,135.0
2,EKP,Aztreonam_AB,68.0,81.0,0,151.0,68.0,81.0,0,151.0
3,EKP,Cefazolin_AB,92.0,58.0,0,150.0,92.0,58.0,0,150.0
4,EKP,Cefepime_AB,50.0,31.0,0,219.0,50.0,31.0,0,219.0
5,EKP,Ceftazidime_AB,32.0,88.0,0,180.0,32.0,88.0,0,180.0
6,EKP,Ceftriaxone_AB,103.0,5.0,0,192.0,103.0,5.0,0,192.0
7,EKP,Cefuroxime_AB,72.0,55.0,0,173.0,72.0,55.0,0,173.0
8,EKP,Ciprofloxacin_AB,0.0,26.0,0,274.0,0.0,26.0,0,274.0
9,EKP,Gentamicin_AB,0.0,143.0,0,157.0,0.0,143.0,0,157.0
10,EKP,Imipenem_AB,88.0,38.0,0,174.0,88.0,38.0,0,174.0
11,EKP,Levofloxacin_AB,85.0,69.0,0,146.0,85.0,69.0,0,146.0
12,EKP,Piperacillin-tazobactam_AB,50.0,85.0,0,165.0,50.0,85.0,0,165.0
13,EKP,Tobramycin_AB,50.0,91.0,0,159.0,50.0,91.0,0,159.0
