,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Meropenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Ampicillin_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Cefotaxime_AB,Tigecycline_AB,Trimethoprim_AB,Colistin_AB,Cefpodoxime_AB,Ceftolozane-tazobactam_AB,Ceftazidime-avibactam_AB,Piperacillin_AB,Doripenem_AB,Organism_Code
Amikacin_AB,0.08238992925372024,0.019730706927272273,0.015330242400072419,0.008343607016653688,0.01713747778843645,0.008108917093377866,0.01240894919624964,0.03629760343103918,0.02306504747177565,0.011915150845242655,0.04921346067553018,0.018835333007848006,0.015059497349642596,0.5671261676403746,0.015255750635824551,0.01407819127289805,0.00983644899770694,0.0157449737210325,0.016885286881805427,0.009736417311097083,0.01192454938430925,0.001230291396154211,0.005433392956194856,0.0009261434628691598,0.0021877404586230194,0.003692862862576399,0.004183156980033298,0.003922703581640029,0.0
Amoxicillin-clavulanic acid_AB,0.0052295073121659255,0.1226392851203959,0.0451113436859624,0.001256316408343098,0.2999821885171089,2.856933199333626e-17,0.003243149017328595,0.002132456923245898,0.027529746745507594,0.03404698510486129,0.020856226296895236,0.022135049443710232,0.008448091604540842,0.016967436985011616,0.020799438962360896,0.0052871018895230566,0.009218882892460825,0.236060415704413,0.012511293035311675,0.0746463041827636,0.018088189648604723,0.012327424590005357,0.0010011762584782077,0.0,6.994107173765217e-05,9.207089563109609e-05,0.0,0.0003199777036322735,0.0
Ampicillin-sulbactam_AB,0.02130847401001979,0.02067837861397119,0.03803471400996809,0.10401534194968401,0.0696288403127332,0.3541901756569646,0.04573808321892378,0.015037296396576609,0.021708519527148553,0.05184956431184261,0.024072563943255305,0.017898089787019227,0.012799409096866166,0.01568762236730689,0.02303648526445521,0.014259290529434457,0.009604616002193325,6.386589486496117e-06,0.014104618731101432,0.047557676287461326,0.0247148793456589,0.0,0.007698303115831412,0.009320480619859895,0.005144520658030624,0.004081850088264815,0.012114638459565808,0.01570918110637628,0.0
Ampicillin_AB,0.00701332192121853,0.05307588097855945,0.009670155130120706,0.05034492281636062,0.2226123203028792,0.021052291586114345,0.05173035789274995,0.008465922602844142,0.008740957076987918,0.021026497689631718,0.0031219259266439124,0.06359261155978872,0.01557155614167098,0.011039389900390764,0.015752393510571873,0.05536989668778394,0.024922775703525288,0.01188947116068307,0.02613141765445043,0.2289123047773386,0.010056480503371299,0.02598547867846302,1.1812578659755982e-16,0.014090568612185411,0.030711007570659164,0.00912009361500678,0.0,5.360712797422288e-17,0.0
Aztreonam_AB,0.03339762752051202,0.04978934979281943,0.015618380605025963,0.03661170299323363,0.2827656511893062,0.01810436854657256,0.02012048002950927,0.01730258312980954,0.23582565669769484,0.025999824607372435,0.018790047002427146,0.033207711141501464,0.019967957756944973,0.036624421829444455,0.04636879605044453,0.017516298617455996,0.006368438734321531,0.004160543636889558,0.005278523154410322,0.015467750424604576,0.015332053422397365,0.005078486647064818,0.002680861185744444,0.010296517801951482,0.0070391355731536775,0.007459193668969646,0.009429336534855018,0.003398301705563,0.0
Cefazolin_AB,0.009195902976962773,0.023123772199265202,0.012513670961770234,0.4117745978933825,0.2687973952139682,0.015522548546142158,0.02280354709669975,0.0051944733564196315,0.09079404140984693,0.0038388091974325363,0.0075920504855538735,0.004712325916266541,0.003949134672573816,0.008505330050291821,0.0038209297820960167,0.004889099026368077,0.00648181248927107,0.00019307879621971766,0.012346806702191702,0.05200355318009561,0.012153548794366847,0.0,0.0003875637722889441,0.009605511856401402,0.0056208124257454304,0.004174192775969117,0.0,5.490422410103043e-06,0.0
Cefepime_AB,0.04336845116497953,0.02861271877479537,0.026363067156608064,0.015560475581793978,0.031554364564080506,0.019512912476356496,0.01664960115337248,0.024721558457527208,0.06125944280380499,0.0376006886487177,0.03893744611674148,0.04266812758233932,0.036327586378487015,0.043340821352814085,0.30048248838977476,0.025366050665941345,0.01305234163461832,0.008644914593798833,0.014775357019444754,0.0367546875512721,0.021188042886343843,0.013553972615929017,0.014285614226561546,0.015952316523468194,0.01748895030238694,0.03556898486614979,0.00900526460919176,0.0074037519027005845,0.0
Cefotaxime_AB,0.01607666956650016,0.011553123950738778,0.027542778491275892,0.004777384599732563,0.2664973461965823,0.003619466727501003,0.06784801425753026,0.005536659091056474,0.03491468622079508,0.006393435049928365,0.011366605344332328,0.0021079039097675546,0.006494997098643401,0.021001508986996,0.06918712763676323,0.003637367644862443,0.005712413657037658,0.014252659501157207,0.011199046124323406,0.24808378946229628,0.01309572320580941,0.004718890455987048,0.012623248082993184,0.004340072947656514,0.05667740726891551,0.060168697365036675,0.005853732019991709,0.00471924513578977,0.0
Cefpodoxime_AB,0.007841619942018844,0.020154545118689172,0.015893826311077622,0.0032499753443190624,0.015759673966458342,0.01131616827492684,0.33478102475556537,0.004199654019583623,0.007776346165645258,0.004272768817967013,0.009964730272280172,0.00412929502176292,0.0019237593950093997,0.025055716139505954,0.006978237266527873,0.012084754477037527,0.0037761724453849637,0.0,0.0020287093267248616,0.1308568605814288,0.0029259228812416227,0.0,0.19801913474955374,0.002583585095329347,0.003339682578242829,0.0031625436720149813,0.09418606307939853,0.07373923030230539,0.0
Ceftazidime-avibactam_AB,0.00891954993874354,0.007292315669579953,0.010790390849975056,0.006468846366434599,0.01689822971383006,0.009457230583555597,0.03763818866126732,0.013393122967247767,0.00754673219912076,0.011572123514252276,0.05004982964748679,0.016840154634495216,0.02007834079664095,0.017474699747560905,0.009935938026788278,0.0033412307490522904,0.0023599970118682377,0.0003437176304562867,0.0279780575904683,0.0065089086656257445,0.012311519594804385,0.0,0.001923143283871275,0.0032779593644627282,0.03047196594109727,0.6671278068513145,0.0,1.5488950131511046e-18,0.0
