,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefpodoxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Doripenem_AB,Tigecycline_AB,Trimethoprim_AB,Piperacillin_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Trimethoprim-sulfamethoxazole_AB,Amoxicillin-clavulanic acid_AB,Colistin_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.05893147750581654,0.027274112151374423,0.0057847891294712465,0.002144415317628772,0.012563087458684726,0.061210543058545994,0.0352419063754575,0.0038115227065322775,0.010390504240886535,0.004755948633156014,0.004017390965728682,0.02229205034840101,0.016315054898699353,0.012429052587606598,0.0019458612982831513,0.013726287652317992,0.013370374912207054,0.0015131889624766233,0.011326056041364344,0.00573230960796608,0.0046005975044584885,0.00991832121535042,0.009304497492858936,0.02674623331639875,0.012352574271787539,0.5930345030717367,0.012156479374504113,0.00711085990030005,0.0
Amoxicillin-clavulanic acid_AB,0.01741907761452815,0.02265890322334182,0.17607436781482827,0.0,0.07158437476423561,0.013680273044162142,0.0717341533441901,0.0016959353569061329,0.012560552757252277,0.014889957485587857,0.0,0.009694884383208948,0.21267628430448132,0.030199525464071224,4.4045378065827826e-05,0.007819518246899915,0.017120517855322273,5.0500329304961596e-05,0.020370546082578565,0.21265778868627427,0.0037985620519315273,0.027793374693535152,0.004194081088783989,0.005904035016706239,0.026574073719382755,0.014031490979120848,0.00015748260812512618,0.00461569370717452,0.0
Ampicillin-sulbactam_AB,0.006511399180672466,0.05798428108497163,0.008479451357746226,0.01586462092099924,0.012729263428391938,0.014525568743463146,0.04950481858486762,0.00733888770495277,0.009915910170007316,0.0,0.007319835856174305,0.020586665244234047,0.13917909251154897,0.014294402305264697,0.004479460655912208,0.008932423638796967,0.006548556924622829,0.00541738651495151,0.017477074272970648,5.9186493610412295e-05,0.013430639395330176,0.002367960888986717,0.01865327352616484,0.014583242351195999,0.005284473268166904,0.00628205668394232,0.4434999108659798,0.08875015742607444,0.0
Ampicillin_AB,0.005643846513625882,0.04778537454635394,0.02116015527122593,0.03480768489061059,0.012626469285548544,0.006782008023907639,0.16809333846196217,2.8051578380264065e-05,0.0015713716144503092,0.019912892539489052,0.0,0.03035125159392451,0.22057692980403132,0.011307474726698227,0.014819693354351609,0.07667830553853586,0.036950519272297144,0.04612698580618593,0.07523239121430056,0.006351340304343863,0.00011963084256738236,0.0057740076082749715,0.11169631339582926,0.023473201856002417,0.0028727614979589017,0.005321240338163281,0.0029874565171888303,0.010949303603791625,0.0
Aztreonam_AB,0.022473727586061237,0.0797054871580942,0.013206805754813002,0.0071034155282626976,0.03954239874302657,0.020394397814070413,0.027530528410040417,0.0027398707064925035,0.016476974409312103,0.008609772629477465,0.007446231553276443,0.3291113643590422,0.20984239854463738,0.020354007896457853,0.004144914850949097,0.02191993341569428,0.01864880040996355,0.0021784888104174507,0.021865287414794043,0.004598436031467476,0.007140899329043871,0.004724952773621836,0.013354701439324644,0.012247835237000609,0.0068741834511211845,0.026519061828373616,0.021791978705309578,0.029453145209854068,0.0
Cefazolin_AB,0.006275198405279516,0.0498375669106246,0.008645794744723035,0.010315348163387836,0.0039012763288530077,0.009601533662396374,0.007079524785639468,0.0003064001884013161,0.0016126689995262836,0.0,0.0,0.07171757348536534,0.20859800272722478,0.01810095095192594,0.005546421098023602,0.00463772589832115,0.0030265578126894704,0.006136285208396062,0.004603041943820087,0.0014458417611620629,0.0010168975257576567,0.0032507320564328242,0.016237576766528036,0.004976800950317996,0.0016771576382251154,0.003662148858506886,0.02311971829490766,0.5246712548335639,0.0
Cefepime_AB,0.05680016746494858,0.036066425495982865,0.031760269963964846,0.022744026630432474,0.3296760669180546,0.0305753873808024,0.029831736026904344,0.013612083911638491,0.01942701686373116,0.007140218381531052,0.008319741193021979,0.054630424606859115,0.03259185448286833,0.02265087125682591,0.017648422521259678,0.029367920431979118,0.03155719110258232,0.026918425551456925,0.04255929382749742,0.012173747541252646,0.009144852525178049,0.015649946990587103,0.019967487773463514,0.02280049281649628,0.00949072776999136,0.024892151568834977,0.01900824745604648,0.022994801545808075,0.0
Cefotaxime_AB,0.015085405692796,0.011594466296156266,0.27039809461746234,0.04186278032226744,0.043171332329999326,0.006869723025398745,0.004190577845216294,0.018916906056008688,0.008592770758291134,0.0031902047631441636,0.012428622147646607,0.022312586493007484,0.22051716810836064,0.05191659526298318,0.06185910063792438,0.002848757490062156,0.008371392612032888,0.05613290428197593,0.008172470040968112,0.031004045512087814,0.012956380922456809,0.005831978590727267,0.04279128196119457,0.0039130278664497396,0.006130627394899257,0.012661678796727098,0.013134865981103295,0.0031442541926523307,0.0
Cefpodoxime_AB,0.019820260494231537,0.0036374993212318274,0.035654852920682406,0.05943652091035806,0.005454309025851765,0.012244149375709584,0.009545086784236491,0.22319797250615453,0.005353711069636049,0.0,0.1277630836746741,0.013246082702035613,0.013664214934316013,0.007593419007982024,0.0015911636850029676,0.003453320182954146,0.011057711455520924,0.001165391068324287,0.009211782739969605,0.0,0.19169401137155961,0.0011616887024595997,0.1679979378344272,0.0038606330038399336,0.0027749287598321983,0.006492081601788855,0.06016035295654177,0.0027678339106790607,0.0
Ceftazidime-avibactam_AB,0.011858480420141817,0.011327897338465202,0.00482797243374514,0.003401565371504178,0.006984703983651882,0.05972344739941157,0.025426710933678476,3.7355849245068384e-07,0.010224541216628854,0.0,0.0,0.010935986038424451,0.013384417845439707,0.012173432198212684,0.6566556709064986,0.011100281340301183,0.009803112823259956,0.034742639635226204,0.004248655671777388,0.0005008921065501419,0.0030569514690079076,0.021353365319555312,0.013895451164268149,0.02764371606753293,0.004448353014031422,0.025324610499994484,0.011884059030175049,0.005072712214025032,0.0
