,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,219.0,0,81.0,0.0,219.0,0,81.0
1,EKP,Amoxicillin-clavulanic acid_AB,216.0,11.0,0,73.0,216.0,11.0,0,73.0
2,EKP,Ampicillin-sulbactam_AB,120.0,47.0,0,133.0,120.0,47.0,0,133.0
3,EKP,Ampicillin_AB,21.0,9.0,0,270.0,21.0,9.0,0,270.0
4,EKP,Aztreonam_AB,76.0,80.0,0,144.0,76.0,80.0,0,144.0
5,EKP,Cefazolin_AB,91.0,57.0,0,152.0,91.0,57.0,0,152.0
6,EKP,Cefepime_AB,59.0,39.0,0,202.0,59.0,39.0,0,202.0
7,EKP,Cefotaxime_AB,53.0,10.0,0,237.0,53.0,10.0,0,237.0
8,EKP,Ceftazidime-avibactam_AB,139.0,49.0,0,112.0,139.0,49.0,0,112.0
9,EKP,Ceftazidime_AB,43.0,85.0,0,172.0,43.0,85.0,0,172.0
10,EKP,Ceftolozane-tazobactam_AB,139.0,19.0,0,142.0,139.0,19.0,0,142.0
11,EKP,Ceftriaxone_AB,107.0,7.0,0,186.0,107.0,7.0,0,186.0
12,EKP,Cefuroxime_AB,80.0,46.0,0,174.0,80.0,46.0,0,174.0
13,EKP,Ciprofloxacin_AB,0.0,29.0,0,271.0,0.0,29.0,0,271.0
14,EKP,Ertapenem_AB,17.0,78.0,0,205.0,17.0,78.0,0,205.0
15,EKP,Gentamicin_AB,0.0,153.0,0,147.0,0.0,153.0,0,147.0
16,EKP,Imipenem_AB,86.0,36.0,0,178.0,86.0,36.0,0,178.0
17,EKP,Levofloxacin_AB,91.0,70.0,0,139.0,91.0,70.0,0,139.0
18,EKP,Meropenem_AB,0.0,107.0,0,193.0,0.0,107.0,0,193.0
19,EKP,Piperacillin-tazobactam_AB,59.0,71.0,0,170.0,59.0,71.0,0,170.0
20,EKP,Tigecycline_AB,63.0,5.0,0,232.0,63.0,5.0,0,232.0
21,EKP,Tobramycin_AB,59.0,86.0,0,155.0,59.0,86.0,0,155.0
22,EKP,Trimethoprim_AB,273.0,8.0,0,19.0,273.0,8.0,0,19.0
