Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9166666666666666,0.9666511375106762,0.9638843060250768,0.9068250640577684,0.9068250640577684,0.9068250640577684,4.166666666666666,4.166666666666666,81.0,0.0,159.0,405.0,0.0,795.0
Cefuroxime_AB,0.9736842105263158,0.9874776386404294,0.8577660816588337,0.8619718309859155,0.9137745974955277,0.8858477970627503,1.7543859649122806,0.8771929824561403,13.0,0.0,215.0,60.0,0.0,1082.0
Ciprofloxacin_AB,0.9875,0.9919855740332598,0.9236248978249184,0.9423076923076923,0.9930875576036866,0.9659074766797671,1.25,0.0,23.0,0.0,217.0,108.0,0.0,1092.0
Cefazolin_AB,0.9708333333333333,0.982638888888889,0.793775795664357,0.8288888888888889,0.9057017543859649,0.862644101054697,2.083333333333333,0.8333333333333334,12.0,0.0,228.0,53.0,0.0,1147.0
Ceftazidime_AB,0.9666666666666667,0.9715114745449749,0.8523593487772405,0.852576647097195,0.927723555790029,0.885687068349607,2.5,0.8333333333333334,17.0,0.0,223.0,95.0,0.0,1105.0
Ampicillin-sulbactam_AB,0.9541666666666667,0.9815107458912768,0.8426951590694756,0.7888888888888889,0.8081542351453856,0.7981497056349873,2.5,2.083333333333333,14.0,0.0,226.0,57.0,0.0,1143.0
Ceftriaxone_AB,0.9583333333333334,0.9857954545454546,0.8774220767418277,0.8636363636363636,0.8636363636363636,0.8636363636363636,2.083333333333333,2.083333333333333,20.0,0.0,220.0,93.0,0.0,1107.0
Levofloxacin_AB,0.9583333333333334,0.9882751433038042,0.9507556134617567,0.9039888682745826,0.9538822303282959,0.9264615761735506,3.3333333333333335,0.8333333333333334,38.0,0.0,202.0,237.0,0.0,963.0
Aztreonam_AB,0.9063829787234042,0.915016501650165,0.8126298350909018,0.8242857142857143,0.7554005400540054,0.7836457984599934,2.9787234042553195,6.382978723404255,33.0,0.0,202.0,153.0,0.0,1034.0
Piperacillin-tazobactam_AB,0.8833333333333333,0.8932542067307692,0.7664944746926706,0.75,0.6947115384615384,0.7169811320754718,4.166666666666666,7.5,32.0,0.0,208.0,198.0,0.0,1002.0
Gentamicin_AB,0.9333333333333333,0.9773995535714286,0.9777929890805219,0.9366515837104072,0.9308035714285714,0.9326599326599327,1.6666666666666667,5.0,112.0,0.0,128.0,531.0,0.0,669.0
Imipenem_AB,0.9375,0.9536364451618689,0.9268964166258707,0.914576802507837,0.9269572235673931,0.9204929437487577,2.5,3.75,177.0,0.0,63.0,893.0,0.0,307.0
Amikacin_AB,0.975,0.9866203703703703,0.9702950582315801,0.962123957955781,0.9722222222222222,0.9670299477974174,0.8333333333333334,1.6666666666666667,180.0,0.0,60.0,883.0,0.0,317.0
Cefepime_AB,0.7841409691629956,0.8601352465776019,0.8310103848835293,0.7734632034632034,0.7604733630216065,0.7655008116711994,8.81057268722467,12.77533039647577,86.0,0.0,141.0,375.0,0.0,766.0
Trimethoprim-sulfamethoxazole_AB,0.9333333333333333,0.949791280148423,0.8703614107886679,0.888682745825603,0.888682745825603,0.888682745825603,3.3333333333333335,3.3333333333333335,44.0,0.0,196.0,229.0,0.0,971.0
Median,0.9541666666666667,0.9773995535714286,0.8703614107886679,0.8636363636363636,0.9068250640577684,0.8858477970627503,2.5,2.083333333333333,,,,,,
