,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,EKP,Amikacin_AB,0.0,178.0,0,62.0,0.0,874.0,0,326.0
1,EKP,Ampicillin-sulbactam_AB,0.0,12.0,0,228.0,0.0,62.0,0,1138.0
2,EKP,Aztreonam_AB,4.0,31.0,0,205.0,18.0,152.0,0,1030.0
3,EKP,Cefazolin_AB,0.0,9.0,0,231.0,0.0,53.0,0,1147.0
4,EKP,Cefepime_AB,7.0,81.0,0,152.0,59.0,394.0,0,747.0
5,EKP,Ceftazidime_AB,0.0,20.0,0,220.0,0.0,97.0,0,1103.0
6,EKP,Ceftriaxone_AB,0.0,21.0,0,219.0,0.0,97.0,0,1103.0
7,EKP,Cefuroxime_AB,10.0,15.0,0,215.0,64.0,63.0,0,1073.0
8,EKP,Ciprofloxacin_AB,0.0,26.0,0,214.0,0.0,116.0,0,1084.0
9,EKP,Gentamicin_AB,0.0,106.0,0,134.0,0.0,546.0,0,654.0
10,EKP,Imipenem_AB,0.0,180.0,0,60.0,0.0,877.0,0,323.0
11,EKP,Levofloxacin_AB,0.0,51.0,0,189.0,0.0,235.0,0,965.0
12,EKP,Piperacillin-tazobactam_AB,0.0,40.0,0,200.0,0.0,202.0,0,998.0
13,EKP,Tobramycin_AB,0.0,79.0,0,161.0,0.0,404.0,0,796.0
14,EKP,Trimethoprim-sulfamethoxazole_AB,0.0,49.0,0,191.0,0.0,227.0,0,973.0
