Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.8866666666666667,0.9288888888888889,0.9171532286199564,0.8728728728728729,0.882051282051282,0.877025462962963,6.666666666666667,4.666666666666667,105.0,0.0,195.0,105.0,0.0,195.0
Cefuroxime_AB,0.9397163120567376,0.9674805771365149,0.7484278831974773,0.746031746031746,0.9128745837957825,0.8027079303675049,5.319148936170213,0.7092198581560284,17.0,0.0,265.0,17.0,0.0,265.0
Cefepime_AB,0.7222222222222222,0.7813585069444444,0.7244072603885715,0.6851254892931153,0.6744791666666667,0.6786969375801863,12.152777777777777,15.625,96.0,0.0,192.0,96.0,0.0,192.0
Gentamicin_AB,0.87,0.9358620074879658,0.9347111311354337,0.8717527351312413,0.8680246033160992,0.8690909090909091,5.0,8.0,142.0,0.0,158.0,142.0,0.0,158.0
Piperacillin-tazobactam_AB,0.8266666666666667,0.813701923076923,0.7124989662353995,0.6944444444444444,0.6823821339950372,0.688,8.0,9.333333333333334,52.0,0.0,248.0,52.0,0.0,248.0
Aztreonam_AB,0.9146757679180887,0.8379256965944273,0.7441556392129683,0.8157253599114065,0.7942208462332301,0.8044006515527784,3.754266211604096,4.778156996587031,38.0,0.0,255.0,38.0,0.0,255.0
Ceftazidime_AB,0.93,0.9388686131386861,0.7881411948158237,0.7742780803617305,0.874649073554183,0.813780260707635,5.333333333333334,1.6666666666666667,26.0,0.0,274.0,26.0,0.0,274.0
Ciprofloxacin_AB,0.9533333333333334,0.972037037037037,0.8246277202430283,0.8495379670550423,0.9296296296296296,0.8839009287925697,3.6666666666666665,1.0,30.0,0.0,270.0,30.0,0.0,270.0
Imipenem_AB,0.9066666666666666,0.9156667186120202,0.9083950668436744,0.8968755059090173,0.8820321022284556,0.8888888888888888,5.666666666666666,3.6666666666666665,207.0,0.0,93.0,207.0,0.0,93.0
Trimethoprim-sulfamethoxazole_AB,0.9033333333333333,0.9419642857142856,0.8386770883483969,0.8339361060880048,0.864900468384075,0.8480057303586716,6.0,3.6666666666666665,56.0,0.0,244.0,56.0,0.0,244.0
Ceftriaxone_AB,0.9566666666666667,0.9691886580572713,0.826781987044187,0.8390835579514825,0.9414654688377316,0.8813832537485933,3.6666666666666665,0.6666666666666667,26.0,0.0,274.0,26.0,0.0,274.0
Levofloxacin_AB,0.94,0.9566278124152887,0.8847137362678376,0.8920114805070557,0.9442938465708864,0.9144269776876268,5.0,1.0,62.0,0.0,238.0,62.0,0.0,238.0
Amikacin_AB,0.9066666666666666,0.9318709190005936,0.9203196957076597,0.8833797781166202,0.8934757973126113,0.8881729591565046,4.0,5.333333333333334,213.0,0.0,87.0,213.0,0.0,87.0
Ampicillin-sulbactam_AB,0.9466666666666667,0.9276973026973028,0.7150906632536436,0.723731884057971,0.8701298701298701,0.7752388087656865,4.333333333333334,1.0,14.0,0.0,286.0,14.0,0.0,286.0
Cefazolin_AB,0.93,0.9437210648148148,0.645459232227168,0.6611721611721612,0.84375,0.7120526532291238,6.0,1.0,12.0,0.0,288.0,12.0,0.0,288.0
Median,0.9146757679180887,0.9358620074879658,0.8246277202430283,0.8339361060880048,0.874649073554183,0.8480057303586716,5.319148936170213,3.6666666666666665,,,,,,
