Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9377593360995851,0.9381845461365341,0.9008790501288871,0.9331825037707391,0.930907726931733,0.9320245952501833,2.904564315352697,3.319502074688797,86.0,0.0,155.0,86.0,0.0,155.0
Cefuroxime_AB,0.8772727272727273,0.9467141429285357,0.897798089489562,0.8248335458280209,0.7864817591204398,0.8031483015741507,4.545454545454546,7.727272727272727,46.0,0.0,174.0,46.0,0.0,174.0
Cefepime_AB,0.6307053941908713,0.5833968012185834,0.5409149067418793,0.47203463203463203,0.45899974612845895,0.4581533409119616,24.066390041493776,12.863070539419086,39.0,0.0,202.0,39.0,0.0,202.0
Gentamicin_AB,0.8266666666666667,0.9072295584900627,0.8932989935615024,0.8289562289562289,0.825796985460851,0.8260404121504081,10.666666666666668,6.666666666666667,153.0,0.0,147.0,153.0,0.0,147.0
Piperacillin-tazobactam_AB,0.7717842323651453,0.8553024026512013,0.783558993397566,0.7381314227818787,0.7726180613090307,0.7465825446898002,16.182572614107883,6.639004149377594,71.0,0.0,170.0,71.0,0.0,170.0
Aztreonam_AB,0.8482142857142857,0.8875,0.8846080900459528,0.8639385126713752,0.8041666666666667,0.8219728845254792,2.6785714285714284,12.5,80.0,0.0,144.0,80.0,0.0,144.0
Ceftazidime_AB,0.8793774319066148,0.9213406292749657,0.9137215281993193,0.8891004283674441,0.835499316005472,0.8546512688595771,2.3346303501945527,9.72762645914397,85.0,0.0,172.0,85.0,0.0,172.0
Ciprofloxacin_AB,0.76,0.6593714213004199,0.5577206315956594,0.55957086391869,0.6208168978241506,0.5609399138141312,18.666666666666668,5.333333333333334,29.0,0.0,271.0,29.0,0.0,271.0
Imipenem_AB,0.2616822429906542,0.634129213483146,0.5960581202610284,0.5927835051546392,0.5561797752808989,0.2575318401405358,73.83177570093457,0.0,36.0,0.0,178.0,36.0,0.0,178.0
Trimethoprim-sulfamethoxazole_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.7512953367875648,0.5921658986175116,0.5195653304850485,0.5303996598639455,0.6647465437788018,0.49870129870129865,23.316062176165804,1.5544041450777202,7.0,0.0,186.0,7.0,0.0,186.0
Levofloxacin_AB,0.645933014354067,0.7044707091469682,0.6604259478374114,0.6785848878839269,0.6948098663926002,0.6435748525073747,30.14354066985646,5.263157894736842,70.0,0.0,139.0,70.0,0.0,139.0
Amikacin_AB,0.75,0.7375556683014828,0.710615491689851,0.6759615384615385,0.6031625232538474,0.6117945444193309,19.333333333333332,5.666666666666666,219.0,0.0,81.0,219.0,0.0,81.0
Ampicillin-sulbactam_AB,0.8555555555555555,0.8771396576547752,0.855123774305233,0.8344827586206897,0.7715565509518476,0.7947008247060888,3.888888888888889,10.555555555555555,47.0,0.0,133.0,47.0,0.0,133.0
Cefazolin_AB,0.8516746411483254,0.9439058171745153,0.913456135617851,0.8414940828402366,0.7664473684210527,0.7919195812056397,3.349282296650718,11.483253588516746,57.0,0.0,152.0,57.0,0.0,152.0
Median,0.7717842323651453,0.8662210301529882,0.855123774305233,0.7381314227818787,0.7664473684210527,0.7465825446898002,10.666666666666668,6.639004149377594,,,,,,
